idx,crop_time,num_crop,early_exit,num_selected_crop,s1_time,s1_tflops,s1_hit,s2_time,s2_tflops,s2_hit,total_time,total_flops_gflops,acc_uptonow,filename,instruction
14,0.146,5,☑️,0,0.335,5.07,✅,0.000,0.00,✅,0.481,5.07,85.71,mobile_c71efbd9-cd10-4564-949e-50b3b034328a,search event
15,0.137,5,🫥,1,0.331,5.07,✅,0.345,4.46,✅,0.813,9.53,86.67,mobile_c71efbd9-cd10-4564-949e-50b3b034328a,view as year
16,0.136,5,🫥,1,0.336,5.09,✅,0.333,3.92,✅,0.805,9.01,87.50,mobile_c71efbd9-cd10-4564-949e-50b3b034328a,the fifth in this month
17,0.257,2,🫥,2,0.320,5.33,✅,2.224,20.31,✅,2.801,25.64,88.24,mobile_1c1d54b4-5ac1-40cd-9dc6-21a8d3c97d6e,click to lock rotation
18,0.428,2,🫥,1,0.339,5.33,✅,0.564,9.96,✅,1.331,15.30,88.89,mobile_1c1d54b4-5ac1-40cd-9dc6-21a8d3c97d6e,close do not disturb
19,0.253,2,🫥,2,0.368,5.33,✅,1.079,20.36,✅,1.699,25.68,89.47,mobile_1c1d54b4-5ac1-40cd-9dc6-21a8d3c97d6e,adjust the voice
20,0.274,2,🫥,2,0.320,5.33,✅,1.054,20.38,✅,1.648,25.71,90.00,mobile_1c1d54b4-5ac1-40cd-9dc6-21a8d3c97d6e,open the timer
21,0.128,2,🫥,1,0.321,5.34,✅,0.560,10.66,❌,1.009,16.00,85.71,mobile_0570bb62-77b0-4d1d-90f4-5e322c2bca17,Check handwriting mode options
22,0.130,2,🫥,1,0.322,5.34,✅,0.588,10.66,✅,1.040,15.99,86.36,mobile_0570bb62-77b0-4d1d-90f4-5e322c2bca17,take a photo
23,0.149,2,☑️,0,0.323,5.36,✅,0.000,0.00,✅,0.472,5.36,86.96,mobile_4b1df148-c6ac-452a-b55d-f8e6c6dee059,"open the file named ""result"""
24,0.149,2,🫥,1,0.323,5.35,✅,0.393,5.79,✅,0.865,11.14,87.50,mobile_4b1df148-c6ac-452a-b55d-f8e6c6dee059,view icloud drive
25,0.148,2,☑️,0,0.321,5.35,✅,0.000,0.00,✅,0.469,5.35,88.00,mobile_4b1df148-c6ac-452a-b55d-f8e6c6dee059,add a new file
26,0.152,2,🫥,1,0.320,5.06,✅,1.025,10.02,✅,1.496,15.08,88.46,mobile_a8181231-d30c-4051-9ff2-16808694adbf,search in this note
27,0.169,2,☑️,0,0.333,5.06,❌,0.000,0.00,❌,0.502,5.06,85.19,mobile_a8181231-d30c-4051-9ff2-16808694adbf,add a new page
28,0.172,2,🫥,1,0.323,5.06,✅,0.546,10.02,✅,1.041,15.08,85.71,mobile_a8181231-d30c-4051-9ff2-16808694adbf,get more information
29,0.134,2,☑️,0,0.335,5.35,✅,0.000,0.00,✅,0.469,5.35,86.21,mobile_5313a7b6-4c3a-442f-a5d3-6d53fc8d3ad9,tap the search bar
30,0.135,2,🫥,1,0.333,5.36,✅,0.442,7.45,✅,0.910,12.81,86.67,mobile_5313a7b6-4c3a-442f-a5d3-6d53fc8d3ad9,check the pinned files
31,0.133,2,🫥,1,0.332,5.34,✅,0.638,12.10,✅,1.103,17.45,87.10,mobile_5313a7b6-4c3a-442f-a5d3-6d53fc8d3ad9,sign in
32,0.167,3,☑️,0,0.296,4.05,✅,0.000,0.00,✅,0.463,4.05,87.50,mobile_1a514eae-4ee0-4780-a059-c47715828e3b,open flight mode
33,0.261,3,☑️,0,0.295,4.06,✅,0.000,0.00,✅,0.555,4.06,87.88,mobile_1a514eae-4ee0-4780-a059-c47715828e3b,open the calculator app
34,0.167,3,🫥,1,0.291,4.06,✅,0.577,9.87,❌,1.036,13.93,85.29,mobile_1a514eae-4ee0-4780-a059-c47715828e3b,open the screen recorder
35,0.167,3,🫥,1,0.297,4.06,✅,0.541,9.88,✅,1.005,13.94,85.71,mobile_1a514eae-4ee0-4780-a059-c47715828e3b,switch on focus mode
36,0.174,3,☑️,0,0.383,3.93,✅,0.000,0.00,✅,0.558,3.93,86.11,mobile_93dec21b-d612-41df-9f76-933ceadaba66,launch the photos app
37,0.384,3,☑️,0,0.581,3.92,✅,0.000,0.00,✅,0.965,3.92,86.49,mobile_93dec21b-d612-41df-9f76-933ceadaba66,open the clock
38,0.333,3,☑️,0,0.276,3.93,✅,0.000,0.00,✅,0.609,3.93,86.84,mobile_93dec21b-d612-41df-9f76-933ceadaba66,open the app store
39,0.176,3,☑️,0,0.274,3.93,✅,0.000,0.00,✅,0.450,3.93,87.18,mobile_93dec21b-d612-41df-9f76-933ceadaba66,check iphone settings
40,0.158,2,🫥,1,0.300,4.10,✅,0.412,6.73,✅,0.870,10.83,87.50,mobile_3925834b-893d-4cdf-b9cf-a602466175f3,check the new ios 17.2.1
41,0.157,2,🫥,1,0.288,4.05,✅,0.485,8.25,✅,0.931,12.30,87.80,mobile_3925834b-893d-4cdf-b9cf-a602466175f3,check wlan settings
42,0.201,2,☑️,0,0.288,4.04,✅,0.000,0.00,✅,0.489,4.04,88.10,mobile_3925834b-893d-4cdf-b9cf-a602466175f3,check bluetooth
43,0.166,2,☑️,0,0.289,4.05,✅,0.000,0.00,✅,0.454,4.05,88.37,mobile_3925834b-893d-4cdf-b9cf-a602466175f3,check vpn settings
44,0.199,2,🫥,1,0.270,3.92,✅,0.438,7.00,✅,0.907,10.91,88.64,mobile_9b66c296-5f43-4312-b933-4dfabf00247c,view icloud
45,0.158,2,☑️,0,0.269,3.92,✅,0.000,0.00,✅,0.428,3.92,88.89,mobile_9b66c296-5f43-4312-b933-4dfabf00247c,back to settings
46,0.156,2,🫥,2,0.272,3.93,✅,0.791,15.39,✅,1.218,19.32,89.13,mobile_9b66c296-5f43-4312-b933-4dfabf00247c,view password & security details
47,0.120,2,🫥,1,0.270,3.92,✅,0.689,13.48,❌,1.079,17.40,87.23,mobile_5c9fb5f1-7d84-4283-8ba4-7821a9545c95,open the wlan
48,0.114,2,🫥,1,0.269,3.93,✅,0.667,13.50,✅,1.051,17.43,87.50,mobile_5c9fb5f1-7d84-4283-8ba4-7821a9545c95,edit the wlan setting
49,0.124,2,🫥,1,0.270,3.95,✅,0.672,13.54,✅,1.066,17.49,87.76,mobile_5c9fb5f1-7d84-4283-8ba4-7821a9545c95,choose the pjlab-guest as network
50,0.115,2,🫥,1,0.270,3.95,✅,0.695,13.55,✅,1.080,17.49,88.00,mobile_5c9fb5f1-7d84-4283-8ba4-7821a9545c95,view detail information about pjlab-office
51,0.114,2,🫥,1,0.282,4.06,✅,0.652,12.80,✅,1.048,16.86,88.24,mobile_70580ad8-f119-4db6-813b-81f950e0569e,choose the stack mode
52,0.112,2,🫥,1,0.281,4.06,✅,0.661,12.80,✅,1.054,16.86,88.46,mobile_70580ad8-f119-4db6-813b-81f950e0569e,check scheduled summary
53,0.114,2,🫥,1,0.281,4.06,✅,0.656,12.82,✅,1.052,16.87,88.68,mobile_70580ad8-f119-4db6-813b-81f950e0569e,check announce notifications
54,0.127,2,🫥,1,0.297,4.07,✅,0.488,8.65,✅,0.911,12.73,88.89,mobile_8e7e6de4-2eac-400c-b845-291fa80c5c7c,check airdrop setting
55,0.126,2,🫥,2,0.290,4.07,✅,0.797,15.91,✅,1.214,19.98,89.09,mobile_8e7e6de4-2eac-400c-b845-291fa80c5c7c,view carplay settings
56,0.127,2,🫥,1,0.290,4.06,❌,0.503,8.65,❌,0.920,12.71,87.50,mobile_8e7e6de4-2eac-400c-b845-291fa80c5c7c,view iphone storage
57,0.139,2,🫥,1,0.294,4.06,✅,0.414,6.73,✅,0.847,10.79,87.72,mobile_8e7e6de4-2eac-400c-b845-291fa80c5c7c,check keyboard settings
58,0.136,2,🫥,1,0.277,3.96,✅,0.445,7.40,✅,0.859,11.36,87.93,mobile_db81809e-7672-4329-8453-f622d97fa7ca,disable the allow siri when locked option
59,0.134,2,☑️,0,0.277,3.93,✅,0.000,0.00,✅,0.411,3.93,88.14,mobile_db81809e-7672-4329-8453-f622d97fa7ca,show suggestions
60,0.137,2,🫥,2,0.276,3.96,✅,0.816,15.61,✅,1.229,19.57,88.33,mobile_db81809e-7672-4329-8453-f622d97fa7ca,view siri & dictation history
61,0.116,4,🫥,1,0.283,3.85,✅,0.426,7.08,✅,0.825,10.92,88.52,mobile_e3249127-d727-4553-9a2a-db645f430d9b,view battery health & charging settings
62,0.114,4,🫥,1,0.292,3.87,✅,0.281,3.01,✅,0.687,6.88,88.71,mobile_e3249127-d727-4553-9a2a-db645f430d9b,choose last 10 days data details of battery
63,0.116,4,🫥,1,0.286,3.84,✅,0.433,7.08,✅,0.835,10.92,88.89,mobile_e3249127-d727-4553-9a2a-db645f430d9b,turn on low power mode
64,0.178,3,🫥,3,0.293,3.95,✅,0.806,15.66,❌,1.277,19.61,87.50,mobile_907cb7d2-9953-476e-b589-5526587c3913,take a photo
65,0.177,3,🫥,1,0.283,3.98,✅,0.470,8.06,✅,0.931,12.04,87.69,mobile_907cb7d2-9953-476e-b589-5526587c3913,switch to 0.5x
66,0.178,3,🫥,1,0.283,3.95,❌,0.308,3.79,❌,0.769,7.75,86.36,mobile_907cb7d2-9953-476e-b589-5526587c3913,invert the lens
67,0.177,3,☑️,0,0.298,3.96,✅,0.000,0.00,✅,0.474,3.96,86.57,mobile_907cb7d2-9953-476e-b589-5526587c3913,switch to portrait mode
68,0.121,3,☑️,0,0.293,4.09,✅,0.000,0.00,✅,0.413,4.09,86.76,mobile_f1247381-fcf6-440f-8787-19bce69e28de,add an event
69,0.118,3,☑️,0,0.289,4.11,✅,0.000,0.00,✅,0.407,4.11,86.96,mobile_f1247381-fcf6-440f-8787-19bce69e28de,back to 2023
70,0.121,3,☑️,0,0.291,4.10,✅,0.000,0.00,✅,0.411,4.10,87.14,mobile_f1247381-fcf6-440f-8787-19bce69e28de,search in the calendar
71,0.122,3,☑️,0,0.304,4.08,✅,0.000,0.00,✅,0.425,4.08,87.32,mobile_f1247381-fcf6-440f-8787-19bce69e28de,check inbox
72,0.121,3,🫥,1,0.292,4.11,✅,0.440,7.43,✅,0.852,11.54,87.50,mobile_f1247381-fcf6-440f-8787-19bce69e28de,View December 28th
73,0.115,3,☑️,0,0.284,4.09,✅,0.000,0.00,✅,0.399,4.09,87.67,mobile_e9d69310-692c-4a78-8b8d-b961a5cfec70,cancel the event
74,0.113,3,🫥,1,0.286,4.10,✅,0.455,8.07,✅,0.854,12.17,87.84,mobile_e9d69310-692c-4a78-8b8d-b961a5cfec70,set the repeat mode
75,0.112,3,☑️,0,0.289,4.09,✅,0.000,0.00,✅,0.401,4.09,88.00,mobile_1f9b6434-df6c-4c95-b325-4f7a4d90d304,start a timer
76,0.112,3,🫥,1,0.290,4.12,❌,0.354,5.27,❌,0.756,9.39,86.84,mobile_1f9b6434-df6c-4c95-b325-4f7a4d90d304,Check alarm sound settings for timer end
77,0.112,3,🫥,1,0.296,4.09,✅,0.354,5.24,✅,0.762,9.33,87.01,mobile_1f9b6434-df6c-4c95-b325-4f7a4d90d304,view alarm
78,0.140,2,☑️,0,0.281,4.10,✅,0.000,0.00,✅,0.421,4.10,87.18,mobile_e0fb2f66-6e2c-42d6-8cfd-34e510f1ab2e,add funds to apple id
79,0.141,2,🫥,1,0.291,4.08,✅,0.559,10.84,✅,0.990,14.91,87.34,mobile_e0fb2f66-6e2c-42d6-8cfd-34e510f1ab2e,view notifications
80,0.179,3,🫥,1,0.278,3.97,✅,0.487,8.77,✅,0.944,12.73,87.50,mobile_2b707da9-bf86-410d-b886-cba08b6efb35,switch on personal hotspot
81,0.180,3,☑️,0,0.277,3.98,✅,0.000,0.00,✅,0.457,3.98,87.65,mobile_2b707da9-bf86-410d-b886-cba08b6efb35,view airdrop setting
82,0.180,3,🫥,1,0.280,3.96,✅,0.491,8.77,✅,0.950,12.73,87.80,mobile_2b707da9-bf86-410d-b886-cba08b6efb35,open airplane mode
83,0.137,3,☑️,0,0.289,4.10,✅,0.000,0.00,✅,0.426,4.10,87.95,mobile_0affae67-191e-43fa-890d-778555ffbab0,check my account
84,0.136,3,☑️,0,0.291,4.11,✅,0.000,0.00,✅,0.428,4.11,88.10,mobile_0affae67-191e-43fa-890d-778555ffbab0,tap the search bar
85,0.136,3,🫥,1,0.289,4.10,✅,0.423,6.81,✅,0.848,10.91,88.24,mobile_0affae67-191e-43fa-890d-778555ffbab0,cancel the ads
86,0.135,3,🫥,1,0.289,4.12,✅,0.405,6.83,✅,0.829,10.95,88.37,mobile_0affae67-191e-43fa-890d-778555ffbab0,"tap ""try it free"""
87,0.135,3,🫥,1,0.290,4.10,✅,0.347,4.96,✅,0.772,9.06,88.51,mobile_0affae67-191e-43fa-890d-778555ffbab0,view library
88,0.140,4,🫥,1,0.306,4.11,❌,0.336,4.38,❌,0.781,8.49,87.50,mobile_5fb77d07-dd26-4a0c-959b-7c74fd49d22f,cancel subscription
89,0.186,2,🫥,1,0.287,4.10,✅,0.449,7.47,✅,0.922,11.57,87.64,mobile_8da8fbf4-c2b0-495f-88d3-9eb682c15ce7,shuffle the music list
90,0.187,2,🫥,1,0.286,4.09,❌,0.444,7.47,❌,0.917,11.56,86.67,mobile_8da8fbf4-c2b0-495f-88d3-9eb682c15ce7,view more information
91,0.192,2,☑️,0,0.280,4.10,✅,0.000,0.00,✅,0.472,4.10,86.81,mobile_8da8fbf4-c2b0-495f-88d3-9eb682c15ce7,back to previous page
92,0.187,2,🫥,1,0.280,4.12,✅,0.431,7.50,✅,0.898,11.61,86.96,mobile_8da8fbf4-c2b0-495f-88d3-9eb682c15ce7,view more information about classical christmas
93,0.144,2,🫥,2,0.271,3.96,✅,0.790,16.01,❌,1.206,19.97,86.02,mobile_207efb5f-dce5-4c70-8c06-b16f2267c09e,view bach station
94,0.142,2,🫥,1,0.271,3.99,✅,0.481,8.52,✅,0.894,12.51,86.17,mobile_207efb5f-dce5-4c70-8c06-b16f2267c09e,"tap the button with ""listen now"""
95,0.135,4,☑️,0,0.303,4.13,✅,0.000,0.00,✅,0.438,4.13,86.32,mobile_efa861a6-0810-4c8a-9bca-4f481641d03d,view ore details
96,0.135,4,🫥,1,0.299,4.13,❌,0.298,3.54,❌,0.733,7.67,85.42,mobile_efa861a6-0810-4c8a-9bca-4f481641d03d,add or scan accessory
97,0.127,2,🫥,1,0.294,4.11,✅,0.658,13.24,✅,1.079,17.35,85.57,mobile_7d7609e2-696b-449e-a230-792dce8dd134,open nlp folder
98,0.128,2,🫥,1,0.284,4.11,✅,0.279,3.26,✅,0.691,7.37,85.71,mobile_7d7609e2-696b-449e-a230-792dce8dd134,back to browse page
99,0.128,2,🫥,1,0.283,4.10,✅,0.685,13.25,✅,1.095,17.35,85.86,mobile_7d7609e2-696b-449e-a230-792dce8dd134,view shared
100,0.112,2,🫥,1,0.274,3.98,✅,0.507,9.56,✅,0.893,13.54,86.00,mobile_c1f1188d-1bd3-4ce6-8e3f-96628d07b0b9,login with wechat
101,0.112,2,☑️,0,0.271,3.96,✅,0.000,0.00,✅,0.382,3.96,86.14,mobile_c1f1188d-1bd3-4ce6-8e3f-96628d07b0b9,view settings
102,0.112,2,☑️,0,0.272,3.97,✅,0.000,0.00,✅,0.384,3.97,86.27,mobile_c1f1188d-1bd3-4ce6-8e3f-96628d07b0b9,login with email
103,0.135,2,☑️,0,0.272,3.98,✅,0.000,0.00,✅,0.407,3.98,86.41,mobile_fbadc3d2-cde6-43f5-a33c-a648a9299963,all clear the calculator
104,0.133,2,☑️,0,0.280,4.00,✅,0.000,0.00,✅,0.413,4.00,86.54,mobile_fbadc3d2-cde6-43f5-a33c-a648a9299963,Tap the plus sign in the calculator
105,0.118,4,🫥,1,0.304,4.14,✅,0.303,3.83,✅,0.726,7.97,86.67,mobile_3a1f306e-784a-411a-98cb-f11a2157a5c7,click the search bar
106,0.122,4,☑️,0,0.303,4.14,✅,0.000,0.00,✅,0.425,4.14,86.79,mobile_3a1f306e-784a-411a-98cb-f11a2157a5c7,tap the scan icon
107,0.119,4,🫥,1,0.309,4.14,✅,0.307,3.83,✅,0.735,7.97,86.92,mobile_3a1f306e-784a-411a-98cb-f11a2157a5c7,open pay/collect
108,0.117,4,☑️,0,0.297,4.15,✅,0.000,0.00,✅,0.415,4.15,87.04,mobile_3a1f306e-784a-411a-98cb-f11a2157a5c7,view the air & rail
109,0.119,4,☑️,0,0.299,4.13,✅,0.000,0.00,✅,0.418,4.13,87.16,mobile_3a1f306e-784a-411a-98cb-f11a2157a5c7,check messages
110,0.140,3,🫥,1,0.301,4.13,✅,0.466,8.21,✅,0.907,12.34,87.27,mobile_d8a4069b-ec35-4a62-a3cd-5b5e7d95b50c,click try it now
111,0.149,3,🫥,1,0.303,4.13,✅,0.461,8.22,✅,0.913,12.35,87.39,mobile_d8a4069b-ec35-4a62-a3cd-5b5e7d95b50c,search in this calendar
112,0.140,3,☑️,0,0.294,4.13,✅,0.000,0.00,✅,0.434,4.13,87.50,mobile_d8a4069b-ec35-4a62-a3cd-5b5e7d95b50c,add a new one
113,0.142,3,☑️,0,0.296,4.12,✅,0.000,0.00,✅,0.438,4.12,87.61,mobile_d8a4069b-ec35-4a62-a3cd-5b5e7d95b50c,view docs
114,0.112,5,🫥,1,0.303,4.15,✅,0.309,3.55,✅,0.724,7.70,87.72,mobile_20aa1fbd-f09f-4923-9fb4-15998cda6fe3,save current settings
115,0.122,5,☑️,0,0.302,4.15,✅,0.000,0.00,✅,0.424,4.15,87.83,mobile_20aa1fbd-f09f-4923-9fb4-15998cda6fe3,add title
116,0.112,5,☑️,0,0.301,4.15,✅,0.000,0.00,✅,0.413,4.15,87.93,mobile_20aa1fbd-f09f-4923-9fb4-15998cda6fe3,add guests
117,0.112,5,☑️,0,0.302,4.16,❌,0.000,0.00,❌,0.414,4.16,87.18,mobile_20aa1fbd-f09f-4923-9fb4-15998cda6fe3,set no repeats
118,0.112,5,☑️,0,0.317,4.15,❌,0.000,0.00,❌,0.429,4.15,86.44,mobile_20aa1fbd-f09f-4923-9fb4-15998cda6fe3,add description
119,0.139,3,🫥,1,0.297,4.13,✅,0.435,7.22,✅,0.871,11.36,86.55,mobile_a14fb632-fab9-4537-8c7b-8c650fd91bd7,favorite the music
120,0.136,3,🫥,1,0.297,4.13,✅,0.436,7.22,✅,0.869,11.35,86.67,mobile_a14fb632-fab9-4537-8c7b-8c650fd91bd7,view comments
121,0.134,3,☑️,0,0.295,4.14,✅,0.000,0.00,✅,0.429,4.14,86.78,mobile_a14fb632-fab9-4537-8c7b-8c650fd91bd7,play the music
122,0.133,3,☑️,0,0.293,4.14,✅,0.000,0.00,✅,0.426,4.14,86.89,mobile_a14fb632-fab9-4537-8c7b-8c650fd91bd7,play next song
123,0.133,3,☑️,0,0.298,4.14,✅,0.000,0.00,✅,0.431,4.14,86.99,mobile_a14fb632-fab9-4537-8c7b-8c650fd91bd7,play previous song
124,0.112,2,🫥,1,0.291,4.12,✅,0.416,6.91,✅,0.818,11.03,87.10,mobile_9bd1779a-91ee-4a59-8904-3850434b1421,view more information
125,0.116,2,🫥,1,0.293,4.13,✅,0.405,6.91,✅,0.814,11.04,87.20,mobile_9bd1779a-91ee-4a59-8904-3850434b1421,back to filters
126,0.111,2,☑️,0,0.288,4.13,✅,0.000,0.00,✅,0.399,4.13,87.30,mobile_9bd1779a-91ee-4a59-8904-3850434b1421,write a new message
127,0.113,2,🫥,1,0.303,4.13,✅,0.438,6.92,✅,0.854,11.06,87.40,mobile_9bd1779a-91ee-4a59-8904-3850434b1421,tap the search bar
128,0.110,2,🫥,1,0.274,3.88,✅,0.586,12.10,✅,0.970,15.98,87.50,mobile_8d5dea76-69b8-4076-82ef-38b2fb8a1b30,set focus time to 60 mins
129,0.108,2,☑️,0,0.270,3.86,✅,0.000,0.00,✅,0.379,3.86,87.60,mobile_8d5dea76-69b8-4076-82ef-38b2fb8a1b30,turn on focus mode
130,0.109,2,🫥,1,0.269,3.85,✅,0.586,12.08,✅,0.964,15.93,87.69,mobile_8d5dea76-69b8-4076-82ef-38b2fb8a1b30,customize focus time
131,0.107,4,☑️,0,0.274,4.03,✅,0.000,0.00,✅,0.381,4.03,87.79,mobile_b012267b-fcd6-4d0c-991a-f2a4afd0a2ff,check tuesday data details
132,0.108,4,🫥,1,0.275,4.02,✅,0.267,3.07,✅,0.650,7.09,87.88,mobile_b012267b-fcd6-4d0c-991a-f2a4afd0a2ff,display data by week
133,0.107,4,☑️,0,0.283,4.03,❌,0.000,0.00,❌,0.389,4.03,87.22,mobile_b012267b-fcd6-4d0c-991a-f2a4afd0a2ff,switch to focus mode
134,0.121,2,🫥,1,0.270,4.00,✅,0.396,6.61,✅,0.787,10.62,87.31,mobile_faa33d8c-ff72-4c74-98df-cb46cc0516aa,open system apps settings
135,0.120,2,☑️,0,0.270,4.00,✅,0.000,0.00,✅,0.390,4.00,87.41,mobile_faa33d8c-ff72-4c74-98df-cb46cc0516aa,manage home screen shortcuts
136,0.122,2,☑️,0,0.284,4.00,✅,0.000,0.00,✅,0.406,4.00,87.50,mobile_faa33d8c-ff72-4c74-98df-cb46cc0516aa,back to previous page
137,0.108,4,☑️,0,0.275,3.88,✅,0.000,0.00,✅,0.383,3.88,87.59,mobile_db3c83d0-b179-4661-88d4-baf938bcf477,turn off wlan
138,0.109,4,☑️,0,0.272,3.88,✅,0.000,0.00,✅,0.381,3.88,87.68,mobile_db3c83d0-b179-4661-88d4-baf938bcf477,scan qr code
139,0.124,2,☑️,0,0.271,3.87,✅,0.000,0.00,✅,0.395,3.87,87.77,mobile_06d5a5b9-8dda-439a-84a5-7af28ab2dab8,turn on earpiece mode
140,0.124,2,☑️,0,0.280,3.89,✅,0.000,0.00,✅,0.404,3.89,87.86,mobile_06d5a5b9-8dda-439a-84a5-7af28ab2dab8,turn off mute ringer when recording
141,0.125,2,🫥,1,0.270,3.86,✅,0.387,6.33,❌,0.781,10.19,87.23,mobile_06d5a5b9-8dda-439a-84a5-7af28ab2dab8,change recording format
142,0.105,2,🫥,1,0.275,3.86,✅,0.509,9.10,✅,0.889,12.96,87.32,mobile_5c883ab7-6769-436e-a677-96b0f5a4c950,open a photo
143,0.109,2,☑️,0,0.274,4.01,✅,0.000,0.00,✅,0.382,4.01,87.41,mobile_c346d616-ffcb-4638-a049-2fc45d665e91,add new event on calendar
144,0.109,2,☑️,0,0.272,4.00,✅,0.000,0.00,✅,0.381,4.00,87.50,mobile_c346d616-ffcb-4638-a049-2fc45d665e91,open documents
145,0.110,2,☑️,0,0.273,4.01,✅,0.000,0.00,✅,0.383,4.01,87.59,mobile_c346d616-ffcb-4638-a049-2fc45d665e91,switch to monday schedule
146,0.108,3,☑️,0,0.287,3.86,✅,0.000,0.00,✅,0.394,3.86,87.67,mobile_d7f5d515-e2c4-453e-9b5b-d97e3ecd5307,search
147,0.108,3,🫥,1,0.280,3.88,✅,0.357,5.47,✅,0.745,9.35,87.76,mobile_d7f5d515-e2c4-453e-9b5b-d97e3ecd5307,display external contacts
148,0.125,6,🫥,1,0.284,3.78,✅,0.346,4.64,✅,0.755,8.42,87.84,mobile_550b9efc-c475-4188-82b6-47f7ca1a56f7,search recodings
149,0.125,6,☑️,0,0.288,3.77,✅,0.000,0.00,✅,0.413,3.77,87.92,mobile_550b9efc-c475-4188-82b6-47f7ca1a56f7,open settings
150,0.128,6,☑️,0,0.287,3.79,✅,0.000,0.00,✅,0.415,3.79,88.00,mobile_550b9efc-c475-4188-82b6-47f7ca1a56f7,start a new recording
151,0.110,2,☑️,0,0.277,3.90,✅,0.000,0.00,✅,0.387,3.90,88.08,mobile_c28ad441-0524-4e7b-ab97-4005072b53a3,tap to receive file as a new phone
152,0.110,2,🫥,1,0.279,3.89,✅,0.383,6.37,✅,0.771,10.25,88.16,mobile_c28ad441-0524-4e7b-ab97-4005072b53a3,send files as a old phone
153,0.126,2,🫥,1,0.280,4.01,✅,0.289,3.33,✅,0.694,7.35,88.24,mobile_ef01fd08-a7fd-42a3-b1aa-fe22b3f79730,agree this privacy policy
154,0.114,2,☑️,0,0.283,4.02,✅,0.000,0.00,✅,0.397,4.02,88.31,mobile_ef01fd08-a7fd-42a3-b1aa-fe22b3f79730,disagree the agreement
155,0.119,2,☑️,0,0.289,4.02,✅,0.000,0.00,✅,0.407,4.02,88.39,mobile_ef01fd08-a7fd-42a3-b1aa-fe22b3f79730,display user agreement details
156,0.124,3,🫥,1,0.278,3.88,✅,0.313,3.07,✅,0.715,6.94,88.46,mobile_aae20de3-7aab-4bcc-8d83-f187fe3a2e76,view help
157,0.131,3,🫥,1,0.276,3.89,✅,0.457,7.89,✅,0.864,11.78,88.54,mobile_aae20de3-7aab-4bcc-8d83-f187fe3a2e76,open phone's screen
158,0.125,3,☑️,0,0.277,3.89,✅,0.000,0.00,✅,0.402,3.89,88.61,mobile_aae20de3-7aab-4bcc-8d83-f187fe3a2e76,close current page
159,0.127,2,🫥,1,0.276,4.01,✅,0.411,7.27,✅,0.814,11.28,88.68,mobile_7bbecc1d-4220-4287-8ec7-14f9eec203e2,sort by size
160,0.133,2,☑️,0,0.273,4.03,✅,0.000,0.00,✅,0.405,4.03,88.75,mobile_7bbecc1d-4220-4287-8ec7-14f9eec203e2,sort by file's types
161,0.126,2,🫥,1,0.272,3.88,✅,0.416,7.59,❌,0.815,11.47,88.20,mobile_dc3bbcd3-d7bb-4ce2-be50-eb6f564d2ddc,display recent opened files
