idx,crop_time,num_crop,early_exit,num_selected_crop,s1_time,s1_tflops,s1_hit,s2_time,s2_tflops,s2_hit,total_time,total_flops_gflops,acc_uptonow,filename,instruction
92,0.166,1,🫥,0,0.000,0.00,✅,0.689,15.09,✅,0.855,15.09,89.13,mobile_8da8fbf4-c2b0-495f-88d3-9eb682c15ce7,view more information about classical christmas
93,0.128,1,🫥,0,0.000,0.00,✅,0.687,15.08,✅,0.815,15.08,89.25,mobile_207efb5f-dce5-4c70-8c06-b16f2267c09e,view bach station
94,0.152,1,🫥,0,0.000,0.00,✅,0.707,15.12,✅,0.859,15.12,89.36,mobile_207efb5f-dce5-4c70-8c06-b16f2267c09e,"tap the button with ""listen now"""
95,0.139,4,☑️,0,0.299,4.11,✅,0.000,0.00,✅,0.439,4.11,89.47,mobile_efa861a6-0810-4c8a-9bca-4f481641d03d,view ore details
96,0.134,4,🫥,1,0.305,4.12,❌,0.299,3.53,❌,0.738,7.65,88.54,mobile_efa861a6-0810-4c8a-9bca-4f481641d03d,add or scan accessory
97,0.128,2,🫥,1,0.285,4.09,✅,0.662,13.08,✅,1.074,17.17,88.66,mobile_7d7609e2-696b-449e-a230-792dce8dd134,open nlp folder
98,0.146,2,🫥,1,0.284,4.09,✅,0.277,3.25,✅,0.707,7.35,88.78,mobile_7d7609e2-696b-449e-a230-792dce8dd134,back to browse page
99,0.127,2,🫥,1,0.282,4.08,✅,0.674,13.09,✅,1.083,17.17,88.89,mobile_7d7609e2-696b-449e-a230-792dce8dd134,view shared
100,0.112,2,🫥,1,0.274,3.96,✅,0.509,9.47,✅,0.895,13.43,89.00,mobile_c1f1188d-1bd3-4ce6-8e3f-96628d07b0b9,login with wechat
101,0.111,2,☑️,0,0.271,3.95,✅,0.000,0.00,✅,0.382,3.95,89.11,mobile_c1f1188d-1bd3-4ce6-8e3f-96628d07b0b9,view settings
102,0.112,2,☑️,0,0.269,3.95,✅,0.000,0.00,✅,0.381,3.95,89.22,mobile_c1f1188d-1bd3-4ce6-8e3f-96628d07b0b9,login with email
103,0.123,1,🫥,0,0.000,0.00,✅,0.700,15.19,✅,0.823,15.19,89.32,mobile_fbadc3d2-cde6-43f5-a33c-a648a9299963,all clear the calculator
104,0.124,1,🫥,0,0.000,0.00,✅,0.689,15.22,✅,0.813,15.22,89.42,mobile_fbadc3d2-cde6-43f5-a33c-a648a9299963,Tap the plus sign in the calculator
105,0.122,4,🫥,1,0.308,4.12,✅,0.312,3.82,✅,0.742,7.94,89.52,mobile_3a1f306e-784a-411a-98cb-f11a2157a5c7,click the search bar
106,0.125,4,☑️,0,0.309,4.13,✅,0.000,0.00,✅,0.435,4.13,89.62,mobile_3a1f306e-784a-411a-98cb-f11a2157a5c7,tap the scan icon
107,0.120,4,🫥,1,0.312,4.13,✅,0.305,3.82,✅,0.737,7.94,89.72,mobile_3a1f306e-784a-411a-98cb-f11a2157a5c7,open pay/collect
108,0.121,4,☑️,0,0.302,4.13,✅,0.000,0.00,✅,0.423,4.13,89.81,mobile_3a1f306e-784a-411a-98cb-f11a2157a5c7,view the air & rail
109,0.118,4,☑️,0,0.303,4.11,✅,0.000,0.00,✅,0.420,4.11,89.91,mobile_3a1f306e-784a-411a-98cb-f11a2157a5c7,check messages
110,0.140,3,🫥,1,0.308,4.12,✅,0.460,8.14,✅,0.909,12.26,90.00,mobile_d8a4069b-ec35-4a62-a3cd-5b5e7d95b50c,click try it now
111,0.140,3,🫥,1,0.294,4.12,✅,0.457,8.15,✅,0.891,12.26,90.09,mobile_d8a4069b-ec35-4a62-a3cd-5b5e7d95b50c,search in this calendar
112,0.140,3,☑️,0,0.292,4.12,✅,0.000,0.00,✅,0.432,4.12,90.18,mobile_d8a4069b-ec35-4a62-a3cd-5b5e7d95b50c,add a new one
113,0.140,3,☑️,0,0.292,4.11,✅,0.000,0.00,✅,0.431,4.11,90.27,mobile_d8a4069b-ec35-4a62-a3cd-5b5e7d95b50c,view docs
114,0.112,5,🫥,1,0.302,4.14,✅,0.299,3.53,✅,0.712,7.67,90.35,mobile_20aa1fbd-f09f-4923-9fb4-15998cda6fe3,save current settings
115,0.111,5,☑️,0,0.307,4.13,✅,0.000,0.00,✅,0.418,4.13,90.43,mobile_20aa1fbd-f09f-4923-9fb4-15998cda6fe3,add title
116,0.112,5,☑️,0,0.304,4.13,✅,0.000,0.00,✅,0.416,4.13,90.52,mobile_20aa1fbd-f09f-4923-9fb4-15998cda6fe3,add guests
117,0.112,5,☑️,0,0.311,4.14,❌,0.000,0.00,❌,0.423,4.14,89.74,mobile_20aa1fbd-f09f-4923-9fb4-15998cda6fe3,set no repeats
118,0.111,5,☑️,0,0.318,4.13,❌,0.000,0.00,❌,0.429,4.13,88.98,mobile_20aa1fbd-f09f-4923-9fb4-15998cda6fe3,add description
119,0.131,3,🫥,1,0.293,4.12,✅,0.431,7.17,✅,0.855,11.29,89.08,mobile_a14fb632-fab9-4537-8c7b-8c650fd91bd7,favorite the music
120,0.131,3,🫥,1,0.287,4.11,✅,0.423,7.17,✅,0.841,11.28,89.17,mobile_a14fb632-fab9-4537-8c7b-8c650fd91bd7,view comments
121,0.131,3,☑️,0,0.306,4.12,✅,0.000,0.00,✅,0.437,4.12,89.26,mobile_a14fb632-fab9-4537-8c7b-8c650fd91bd7,play the music
122,0.151,3,☑️,0,0.301,4.12,✅,0.000,0.00,✅,0.452,4.12,89.34,mobile_a14fb632-fab9-4537-8c7b-8c650fd91bd7,play next song
123,0.151,3,☑️,0,0.294,4.12,✅,0.000,0.00,✅,0.445,4.12,89.43,mobile_a14fb632-fab9-4537-8c7b-8c650fd91bd7,play previous song
124,0.113,2,🫥,1,0.296,4.11,✅,0.405,6.86,✅,0.814,10.97,89.52,mobile_9bd1779a-91ee-4a59-8904-3850434b1421,view more information
125,0.112,2,🫥,1,0.304,4.11,✅,0.401,6.86,✅,0.817,10.97,89.60,mobile_9bd1779a-91ee-4a59-8904-3850434b1421,back to filters
126,0.111,2,☑️,0,0.288,4.12,✅,0.000,0.00,✅,0.400,4.12,89.68,mobile_9bd1779a-91ee-4a59-8904-3850434b1421,write a new message
127,0.112,2,🫥,1,0.289,4.12,✅,0.403,6.87,✅,0.804,10.99,89.76,mobile_9bd1779a-91ee-4a59-8904-3850434b1421,tap the search bar
128,0.109,2,🫥,1,0.271,3.87,✅,0.592,11.96,✅,0.972,15.83,89.84,mobile_8d5dea76-69b8-4076-82ef-38b2fb8a1b30,set focus time to 60 mins
129,0.135,2,☑️,0,0.272,3.85,✅,0.000,0.00,✅,0.407,3.85,89.92,mobile_8d5dea76-69b8-4076-82ef-38b2fb8a1b30,turn on focus mode
130,0.110,2,🫥,1,0.271,3.84,✅,0.585,11.94,✅,0.967,15.78,90.00,mobile_8d5dea76-69b8-4076-82ef-38b2fb8a1b30,customize focus time
131,0.106,4,☑️,0,0.281,4.02,✅,0.000,0.00,✅,0.388,4.02,90.08,mobile_b012267b-fcd6-4d0c-991a-f2a4afd0a2ff,check tuesday data details
132,0.126,4,🫥,1,0.292,4.01,✅,0.281,3.06,✅,0.700,7.07,90.15,mobile_b012267b-fcd6-4d0c-991a-f2a4afd0a2ff,display data by week
133,0.113,4,☑️,0,0.289,4.01,❌,0.000,0.00,❌,0.403,4.01,89.47,mobile_b012267b-fcd6-4d0c-991a-f2a4afd0a2ff,switch to focus mode
134,0.130,1,🫥,0,0.000,0.00,✅,0.600,13.05,✅,0.729,13.05,89.55,mobile_faa33d8c-ff72-4c74-98df-cb46cc0516aa,open system apps settings
135,0.112,1,🫥,0,0.000,0.00,✅,0.602,13.05,✅,0.714,13.05,89.63,mobile_faa33d8c-ff72-4c74-98df-cb46cc0516aa,manage home screen shortcuts
136,0.116,1,🫥,0,0.000,0.00,✅,0.603,13.06,✅,0.718,13.06,89.71,mobile_faa33d8c-ff72-4c74-98df-cb46cc0516aa,back to previous page
137,0.123,4,☑️,0,0.280,3.87,✅,0.000,0.00,✅,0.403,3.87,89.78,mobile_db3c83d0-b179-4661-88d4-baf938bcf477,turn off wlan
138,0.112,4,☑️,0,0.281,3.87,✅,0.000,0.00,✅,0.394,3.87,89.86,mobile_db3c83d0-b179-4661-88d4-baf938bcf477,scan qr code
139,0.119,1,🫥,0,0.000,0.00,✅,0.585,13.08,✅,0.704,13.08,89.93,mobile_06d5a5b9-8dda-439a-84a5-7af28ab2dab8,turn on earpiece mode
140,0.237,1,🫥,0,0.000,0.00,✅,0.578,13.10,✅,0.815,13.10,90.00,mobile_06d5a5b9-8dda-439a-84a5-7af28ab2dab8,turn off mute ringer when recording
141,0.112,1,🫥,0,0.000,0.00,✅,0.571,13.08,✅,0.682,13.08,90.07,mobile_06d5a5b9-8dda-439a-84a5-7af28ab2dab8,change recording format
142,0.107,2,🫥,1,0.273,3.85,✅,0.491,9.01,✅,0.871,12.86,90.14,mobile_5c883ab7-6769-436e-a677-96b0f5a4c950,open a photo
143,0.108,2,☑️,0,0.270,4.00,✅,0.000,0.00,✅,0.377,4.00,90.21,mobile_c346d616-ffcb-4638-a049-2fc45d665e91,add new event on calendar
144,0.108,2,☑️,0,0.269,3.98,✅,0.000,0.00,✅,0.377,3.98,90.28,mobile_c346d616-ffcb-4638-a049-2fc45d665e91,open documents
145,0.108,2,☑️,0,0.271,3.99,✅,0.000,0.00,✅,0.378,3.99,90.34,mobile_c346d616-ffcb-4638-a049-2fc45d665e91,switch to monday schedule
146,0.123,3,☑️,0,0.278,3.85,✅,0.000,0.00,✅,0.401,3.85,90.41,mobile_d7f5d515-e2c4-453e-9b5b-d97e3ecd5307,search
147,0.108,3,🫥,1,0.278,3.86,✅,0.373,5.44,✅,0.758,9.30,90.48,mobile_d7f5d515-e2c4-453e-9b5b-d97e3ecd5307,display external contacts
148,0.124,6,🫥,1,0.286,3.77,✅,0.340,4.62,✅,0.750,8.38,90.54,mobile_550b9efc-c475-4188-82b6-47f7ca1a56f7,search recodings
149,0.125,6,☑️,0,0.279,3.76,✅,0.000,0.00,✅,0.404,3.76,90.60,mobile_550b9efc-c475-4188-82b6-47f7ca1a56f7,open settings
150,0.125,6,☑️,0,0.285,3.77,✅,0.000,0.00,✅,0.411,3.77,90.67,mobile_550b9efc-c475-4188-82b6-47f7ca1a56f7,start a new recording
151,0.109,2,☑️,0,0.270,3.88,✅,0.000,0.00,✅,0.379,3.88,90.73,mobile_c28ad441-0524-4e7b-ab97-4005072b53a3,tap to receive file as a new phone
152,0.109,2,🫥,1,0.268,3.87,✅,0.377,6.32,✅,0.753,10.19,90.79,mobile_c28ad441-0524-4e7b-ab97-4005072b53a3,send files as a old phone
153,0.125,2,🫥,1,0.287,4.00,✅,0.288,3.32,✅,0.700,7.32,90.85,mobile_ef01fd08-a7fd-42a3-b1aa-fe22b3f79730,agree this privacy policy
154,0.110,2,☑️,0,0.277,4.00,✅,0.000,0.00,✅,0.387,4.00,90.91,mobile_ef01fd08-a7fd-42a3-b1aa-fe22b3f79730,disagree the agreement
155,0.110,2,☑️,0,0.278,4.00,✅,0.000,0.00,✅,0.388,4.00,90.97,mobile_ef01fd08-a7fd-42a3-b1aa-fe22b3f79730,display user agreement details
156,0.113,3,🫥,1,0.281,3.86,✅,0.263,3.06,✅,0.657,6.92,91.03,mobile_aae20de3-7aab-4bcc-8d83-f187fe3a2e76,view help
157,0.113,3,🫥,1,0.270,3.88,✅,0.432,7.82,✅,0.815,11.70,91.08,mobile_aae20de3-7aab-4bcc-8d83-f187fe3a2e76,open phone's screen
158,0.116,3,☑️,0,0.273,3.87,✅,0.000,0.00,✅,0.389,3.87,91.14,mobile_aae20de3-7aab-4bcc-8d83-f187fe3a2e76,close current page
159,0.118,1,🫥,0,0.000,0.00,✅,0.578,13.22,✅,0.696,13.22,91.19,mobile_7bbecc1d-4220-4287-8ec7-14f9eec203e2,sort by size
160,0.113,1,🫥,0,0.000,0.00,✅,0.573,13.24,✅,0.686,13.24,91.25,mobile_7bbecc1d-4220-4287-8ec7-14f9eec203e2,sort by file's types
161,0.113,1,🫥,0,0.000,0.00,❌,0.573,13.23,❌,0.686,13.23,90.68,mobile_dc3bbcd3-d7bb-4ce2-be50-eb6f564d2ddc,display recent opened files
